,original_text,amount_of_deaths,date,country
0,29151 new cases and 398 new deaths in the United States   [20:36 GMT] #coronavirus #CoronaVirusUpdate # #CoronavirusPandemic,20.0,2020-09-19,United States
1,486 new cases and 7 new deaths in Ethiopia   [20:26 GMT] #coronavirus #CoronaVirusUpdate # #CoronavirusPandemic,20.0,2020-09-25,Ethiopia
2,189 new  confirmed cases in #Qatar 0 new death cases as of Oct 16!! #Doha #update # #news… https://tco/C50rTVTQwW,16.0,2020-10-16,Qatar
3,143 UK recorded #coronavirus deaths - only those testing positive for  within 28 days 4367 in hospital 5… https://tco/l34x2T497C,143.0,2020-10-13,UK
4,RT @DailyMailUK: Deaths have spiked by 241 - a rise of 685% in one week  + Boris Johnson warns the UK is walking a 'narrow path'   Read mo…,241.0,2020-10-20,UK
9,RT @iran_policy: Iran News in Brief   #Iran: #Coronavirus Death Toll in 444 Cities Exceeds 111300  #MEK Supporters Protest in US Welcomi…,444.0,2020-09-29,Iran
13,"I'm watching Death Valley Days 12x17 ""#Hastings Cut-Off"" on #gritTV #western #StayHome #DeathValleyDays… https://tco/hl42CVA3v1",12.0,2020-10-17,CV
16,@DailyMailUK Remember this is all based on a flawed testing method that produces false positive results! Deaths tha… https://tco/mnfnJ6OSQy,6.0,2020-09-27,UK
17,@AlistairHaimes Remember this is all based on a flawed testing method that produces false positive results! Deaths… https://tco/7U6W99s17b,7.0,2020-09-27,United Kingdom
19,RT @ECOnuoha: Today is the 18th World Day Against the Death Penalty  I will be discussing the Topic: Post  And Access to Counsel…,18.0,2020-10-09,CO
23,@standardnews Rubbish! this is all based on a flawed testing method that produces false positive results! Deaths th… https://tco/5H31hQWLln,5.0,2020-09-20,United Kingdom
24, Deaths: 1 Million and Surging: Inter Press Service https://tco/7n2dR6g90k  MORE w/ EcoSearch: https://tco/FXufTVY9Ul,1.0,2020-10-01,USA
38,RT @AlamoOnTheRise: Trump: Day 1335 (THREAD) -6828116 Cases of  in US -US  Death Toll Rises to 201341 -Contradicts &amp; Demean…,201341.0,2020-09-17,US
45,@realDonaldTrump Deaths from  would have been 100000 or lower if you had some public health policies Even… https://tco/iccQMX3N4t,100000.0,2020-09-30,MX
52,@washingtonpost American  Deaths World War I  53402 Korean War      36914 Vietnam War     58200 Iraq War… https://tco/ZXPPZMhC0R,53402.0,2020-09-06,Iraq
54,@McCormickCorp Remember this is all based on a flawed testing method that produces false positive results! Deaths t… https://tco/izHjZ8u1Jb,8.0,2020-09-27,United Kingdom
57,Researchers Predict Almost 300k  Related Deaths In US By End Of 2020 #TheSource #Coronavirus # https://tco/EaqcCROIqO,2020.0,2020-09-01,US
58,RT @DawnLenhardt: Michigan reports 1536 new  cases over last two days; Death toll rises to 6665 https://tco/p0xxUYOj1O,6665.0,2020-09-22,US
78,RT @JStormogipson: (Update: Sept 27 8:30pm)  Deaths per 100K population: US  6232 Germany 1135 Total Deaths: US  204370 Germany…,100.0,2020-09-28,Germany
90,@CBSNews Pro life? The president has down played  from the beginning and we now have &gt;210000 dead! #GOPHypocrites #GOPDeathCult,210000.0,2020-10-08,BS
107,Cases: 39494091 (+0)  Deaths: 1106705 (+98)  Recovered: 27147928 (+2442)  Active Cases: 12346163 (3126000… https://tco/5bN39cmJOP,1106705.0,2020-10-17,JO
111,RT @jc_bradbury: Georgia  update (10/17)  Cases: 339384 (1534 05%) Deaths: 7607 (51 07%) 22% of confirmed cases Hospitaliz…,7607.0,2020-10-17,Georgia
165,South Africa's  STATS - 06/09  📈 Cases: 638517 🥀 Deaths: 14889 🙌 Recoveries: 563891 🤧 Active Cases: 597… https://tco/VkdB2FxNZM,14889.0,2020-09-06,South Africa
196,Viluppuram District  Updates:  Corona Spread/Death  in 24hrs: 112/0  Total Corona Spread/Death in District:… https://tco/EAdAz0CVDZ,24.0,2020-10-01,DZ
233,Fact-Checking @MSNBC's Rachel @Maddow’s Math On Potential  Herd Immunity Deaths https://tco/XIed8hPyL9 via… https://tco/4Hm12L8vVI,8.0,2020-09-22,MS
236,Tennessee Dept of Health  10/17 Update: Total Cases: 226139 (+2646) Deaths: 2903 (+32) Inactive/Recover… https://tco/DuIwYVrKWu,2903.0,2020-10-17,KW
250,Nagai District  Updates:16/10/2020  Corona Spread/Death in 24hrs: 64/2  Total Corona Spread/Death in Distric… https://tco/tLnoNi0qSf,24.0,2020-10-17,India
259,582 New Cases | Pakistan: 21st Sep   Total Cases 307k Recovered 293k (+290) Deaths 6424 (+4) Active Cases 7303 (+2… https://tco/9JEFsB4n28,6424.0,2020-09-22,Pakistan
271,UK Summary   Coronavirus () in the UK   Last updated on Tuesday 29 September 2020 at 4:18pm  Deaths withi… https://tco/XbVwf9bM9J,9.0,2020-09-30,UK
275,RT @cdavid_ve: Mental Health Disorders Related to –Related Deaths https://tco/hpSoqD38Ta vía @JAMA_current part of @JAMANetwork,38.0,2020-10-20,AM
290,RT @Lokhandwala_Bom: Total cases cross 2 Lakhs  🤒 2055 +ve patients 🏃1944 Discharged ☠️ 40 Deaths 🤒 26660 Total Active Active 1328 %   Rec…,26660.0,2020-09-28,India
346,RT @inquirerdotnet: JUST IN: The DOH reports 2995 new cases of  in the country on Sunday Sept 27 Total now at 304226  Deaths:…,304226.0,2020-09-27,US
347,"FOX News Rick Leventhal Confirms Our Prior Reporting - 94% of  Deaths Had ""On Average 2-3 Other Potential C… https://tco/nVPMygFe5t",2.0,2020-09-24,FO
409,RT @GbAfrique: WHO: Noncommunicable Diseases Increase Risk of Death From  https://tco/saU603oOD3,603.0,2020-09-06,Ghana
425,RT @CovidJamBot: Jamaica  Update as of October 05 2020: 97 New Cases 3* Deaths 39 Recoveries  #Jamaica | @codewhare https…,39.0,2020-10-06,Jamaica
473,Coronavirus: Mapping  Confirmed Cases and Deaths Globally https://tco/HP5FEznpMh,5.0,2020-09-01,USA
546,RT @vijaythakurx: India records the lowest number of daily covid cases in nearly two months  Deaths from  infections rose by 706 to…,706.0,2020-10-16,India
585,CDC:  “Only Cause Mentioned” in 6 Per Cent of Total Coronavirus Deaths https://tco/iPQ7M30ale,7.0,2020-08-31,CD
